_id,ratings.overall,offeringDetails[0].hotel_class,offeringDetails[0].name
65ac468c7672c3f8efe39ae8,4,,Seafarers & International House
65ac468d7672c3f8efe39e76,3,3,Fairfield Inn & Suites New York Manhattan / Fifth Avenue
65ac468d7672c3f8efe39e8b,5,4,Grand Hyatt New York
65ac468d7672c3f8efe39f34,4,3,Hilton Garden Inn New York - Chelsea
65ac468d7672c3f8efe3a2bf,5,3.5,Room Mate Grace
65ac468d7672c3f8efe3a5ad,4,3.5,"Club Quarters, opposite Rockefeller Center"
65ac468d7672c3f8efe3ab36,4,4,Hilton New York
65ac468d7672c3f8efe3ad60,4,4,Grand Hyatt New York
65ac468d7672c3f8efe3af6b,3,3.5,Room Mate Grace
65ac468d7672c3f8efe3b019,4,4,The Kimberly Hotel
65ac468d7672c3f8efe3b076,5,3.5,Four Points by Sheraton Midtown - Times Square
65ac468d7672c3f8efe3b212,3,3.5,Four Points by Sheraton Manhattan SoHo Village
65ac468d7672c3f8efe3b2d7,1,,The Standard High Line
65ac468d7672c3f8efe3b357,4,4,Grand Hyatt New York
65ac468d7672c3f8efe3b50b,3,4,Hilton New York
65ac468d7672c3f8efe3b6e7,3,3.5,Radisson Martinique on Broadway
65ac468d7672c3f8efe3b9ca,3,4,Hilton New York
65ac468d7672c3f8efe3be0c,5,3,The MAve
65ac468d7672c3f8efe3beeb,5,3,Eastgate Tower
65ac468d7672c3f8efe3c00b,4,3,Eastgate Tower
65ac468d7672c3f8efe3c092,1,4,Grand Hyatt New York
65ac468d7672c3f8efe3c0d3,4,3,The MAve
65ac468d7672c3f8efe3c1c8,5,4,Kitano New York
65ac468d7672c3f8efe3c28a,4,3,Pod 51
65ac468e7672c3f8efe3c52a,3,3,Eastgate Tower
65ac468e7672c3f8efe3c664,4,4,"Carlton Hotel, Autograph Collection"
65ac468e7672c3f8efe3c8d6,4,4,Grand Hyatt New York
65ac468e7672c3f8efe3c8eb,4,2,Comfort Inn Times Square West
65ac468e7672c3f8efe3cccd,4,4,The Roger
65ac468e7672c3f8efe3ccec,2,4,"Carlton Hotel, Autograph Collection"
65ac468e7672c3f8efe3cdb1,3,4,Avalon Hotel
65ac468e7672c3f8efe3cdee,4,3,Pod 51
65ac468e7672c3f8efe3cee5,1,3.5,Radisson Martinique on Broadway
65ac468e7672c3f8efe3d0f0,4,4.5,W New York - Union Square
65ac468e7672c3f8efe3d100,4,3,"nyma, the New York Manhattan Hotel"
65ac468e7672c3f8efe3d1da,4,3.5,Novotel New York Times Square
65ac468e7672c3f8efe3d58c,3,3.5,Radisson Martinique on Broadway
65ac468e7672c3f8efe3d6ac,3,4,Hilton New York
65ac468e7672c3f8efe3d88c,4,3,Pod 51
65ac468e7672c3f8efe3dab3,4,4,Hilton New York
65ac468e7672c3f8efe3dab8,4,3,Pod 51
65ac468e7672c3f8efe3dc85,4,4,Renaissance New York Hotel 57
